time,pogo_upper,pogo_same,pogo_lower,garg_upper,garg_same,garg_lower,
1000,-1,754,754,696,689,689,
1001,-1,754,754,695,688,688,
1002,-1,754,754,695,688,688,
1003,-1,754,754,695,688,688,
1004,-1,753,753,695,688,688,
1005,-1,753,753,695,688,688,
1006,-1,753,753,695,688,688,
1007,-1,753,753,695,688,688,
1008,-1,753,753,695,688,688,
1009,-1,753,753,695,688,688,
1010,-1,753,753,695,688,688,
1011,-1,753,753,695,688,688,
1012,-1,753,753,695,688,688,
1013,-1,752,753,695,688,688,
1014,-1,752,752,695,688,688,
1015,-1,752,752,695,688,688,
1016,-1,752,752,695,688,688,
1017,-1,752,752,694,687,687,
1018,-1,752,752,694,687,687,
1019,-1,752,752,694,687,687,
1020,-1,751,752,694,687,687,
1021,-1,751,752,694,687,687,
1022,-1,751,752,694,687,687,
1023,-1,751,752,694,687,687,
1024,-1,751,752,694,687,687,
1025,-1,751,751,694,687,687,
1026,-1,751,751,694,687,687,
1027,-1,750,751,694,687,687,
1028,-1,750,751,694,687,687,
1029,-1,750,751,694,687,687,
1030,-1,750,751,694,687,687,
1031,-1,750,751,694,687,687,
1032,-1,750,750,694,687,687,
1033,-1,750,750,693,686,686,
1034,-1,750,750,693,686,686,
1035,-1,749,750,693,686,686,
1036,-1,749,750,693,686,686,
1037,-1,749,750,693,686,686,
1038,-1,749,750,693,686,686,
1039,-1,749,750,693,686,686,
1040,-1,749,750,693,686,686,
1041,-1,749,750,693,686,686,
1042,-1,749,749,693,686,686,
1043,-1,749,749,693,686,686,
1044,-1,749,749,693,686,686,
1045,-1,748,749,693,686,686,
1046,-1,748,749,693,686,686,
1047,-1,748,749,693,686,686,
1048,-1,748,749,693,686,686,
1049,-1,748,749,692,685,685,
1050,-1,748,749,692,685,685,
1051,-1,748,749,692,685,685,
1052,-1,748,748,692,685,685,
1053,-1,748,748,692,685,685,
1054,-1,748,748,692,685,685,
1055,-1,748,748,692,685,685,
1056,-1,747,748,692,685,685,
1057,-1,747,748,692,685,685,
1058,-1,747,748,692,685,685,
1059,-1,747,747,692,685,685,
1060,-1,747,747,692,685,685,
1061,-1,747,747,692,685,685,
1062,-1,747,747,692,685,685,
1063,-1,746,747,691,684,684,
1064,-1,746,747,691,684,684,
1065,-1,746,747,691,684,684,
1066,-1,746,747,691,684,684,
1067,-1,746,747,691,684,684,
1068,-1,746,747,691,684,684,
1069,-1,746,747,691,684,684,
1070,-1,746,747,691,684,684,
1071,-1,746,747,691,684,684,
1072,-1,746,747,691,684,684,
1073,-1,745,747,691,684,684,
1074,-1,745,747,691,684,684,
1075,-1,745,747,691,684,684,
1076,-1,745,747,691,684,684,
1077,-1,745,747,691,684,684,
1078,-1,745,747,691,684,684,
1079,-1,745,747,690,683,683,
1080,-1,745,747,690,683,683,
1081,-1,745,747,690,683,683,
1082,-1,745,747,690,683,683,
1083,-1,743,747,690,683,683,
1084,-1,742,747,690,683,683,
